timestamp, a_x, a_y, a_z, gr_x, gr_y, gr_z, ga_x, ga_y, ga_z, vel L, vel R, pendAngle
17, 1.008303, -0.148491, -9.793235, 0.094009, -0.008751, 0.007456, -175.347946, -3.803327, -60.260624, 0.0, 0.0, -60.26062
45, 1.001118, -0.136516, -9.79563, 0.081618, -0.003289, 0.003326, -175.368362, -3.714252, -60.248657, 0.0, 0.0, -60.248657
74, 1.070574, -0.107776, -9.735755, 0.091877, -0.012748, 0.008256, -175.260071, -3.756916, -60.250019, 0.0, 0.0, -60.25
102, 1.099314, -0.285007, -9.798025, 0.08828, -0.003155, 0.006657, -175.387192, -3.891818, -60.257359, 0.0, 0.0, -60.257355
130, 1.017883, -0.026345, -9.877061, 0.111462, -0.003022, 0.004525, -175.390274, -3.829018, -60.246365, 0.0, 0.0, -60.246338
159, 1.025068, -0.055085, -9.77647, 0.09694, -0.010883, 0.004392, -175.330734, -3.870007, -60.244534, 0.0, 0.0, -60.244507
187, 1.020278, -0.158071, -9.735755, 0.084816, 0.001241, 0.006657, -175.298523, -3.902702, -60.24316, 0.0, 0.0, -60.243134
216, 1.003513, -0.105381, -9.908196, 0.088946, -0.011416, 0.004259, -175.339478, -3.814934, -60.231331, 0.0, 0.0, -60.231323
244, 1.051414, -0.01916, -9.77647, 0.088413, -0.002223, 0.006524, -175.269363, -3.793291, -60.22588, 0.0, 0.0, -60.225861
273, 1.025068, -0.138911, -9.769285, 0.086148, -0.00129, 0.005724, -175.234085, -3.812191, -60.224262, 0.0, 0.0, -60.224243
301, 1.046624, -0.095801, -9.759705, 0.10187, -0.010616, 0.003593, -175.169708, -3.854758, -60.221577, 0.0, 0.0, -60.221558
329, 1.046624, -0.141306, -9.726174, 0.088013, 0.000841, 0.006923, -175.136353, -3.895072, -60.220764, 0.0, 0.0, -60.220764
358, 1.058599, -0.150886, -9.78605, 0.090278, -0.013947, 0.008522, -175.157425, -3.888586, -60.215492, 0.0, 0.0, -60.215485
386, 0.919688, -0.306563, -9.774076, 0.098406, -0.00995, 0.004125, -175.22554, -4.014564, -60.220108, 0.0, 0.0, -60.220093
415, 1.020278, -0.148491, -9.800421, 0.084683, -0.002889, 0.004925, -175.266205, -3.934947, -60.207054, 0.0, 0.0, -60.207031
443, 1.032254, -0.026345, -9.769285, 0.090278, -0.012748, 0.002926, -175.222046, -3.881959, -60.197166, 0.0, 0.0, -60.197144
471, 1.219065, -0.220342, -9.69504, 0.091877, -0.008351, 0.00226, -175.170151, -3.969872, -60.196686, 0.0, 0.0, -60.196686
500, 1.001118, -0.079036, -9.769285, 0.081618, -0.002489, 0.004792, -175.160629, -3.908801, -60.187206, 0.0, 0.0, -60.187195
528, 1.049019, -0.016765, -9.75252, 0.097739, -0.013414, 0.008122, -175.257858, -3.905245, -60.183575, 0.0, 0.0, -60.183563
557, 1.029858, -0.158071, -9.74294, 0.083617, 0.001374, 0.009854, -175.251053, -3.86684, -60.176102, 0.0, 0.0, -60.176086
585, 1.049019, -0.177231, -9.79084, 0.089479, -0.011682, 0.007323, -175.275818, -3.937756, -60.177433, 0.0, 0.0, -60.177429
613, 1.013093, -0.00479, -9.80521, 0.08828, -0.001823, 0.005191, -175.349777, -3.864336, -60.16468, 0.0, 0.0, -60.164673
642, 1.058599, -0.143701, -9.77168, 0.086681, -0.003422, 0.00639, -175.266129, -3.870309, -60.160568, 0.0, 0.0, -60.160553
670, 0.977168, -0.074246, -9.74294, 0.099605, -0.008485, 0.005857, -175.343384, -3.788773, -60.149776, 0.0, 0.0, -60.14975
699, 0.993933, -0.016765, -9.733359, 0.086281, 0.002573, 0.00679, -175.285873, -3.823203, -60.149792, 0.0, 0.0, -60.14978
727, 0.926873, -0.138911, -9.74294, 0.094009, -0.014613, 0.006257, -175.440079, -3.764812, -60.140263, 0.0, 0.0, -60.140259
755, 1.001118, -0.172441, -9.814791, 0.087481, -0.002223, 0.00266, -175.489014, -3.814975, -60.139286, 0.0, 0.0, -60.139282
770, 1.106499, -0.050295, -9.740545, 0.086681, -0.002223, 0.006524, -175.433105, -3.830114, -60.139141, 0.0, 0.0, -60.13913
798, 1.005908, -0.035925, -9.740545, 0.095474, -0.017011, 0.00719, -175.3629, -3.873554, -60.140312, 0.0, 0.0, -60.140289
827, 1.017883, -0.172441, -9.733359, 0.087081, -0.005021, 0.004658, -175.283005, -3.926988, -60.140152, 0.0, 0.0, -60.140137
841, 1.010698, -0.136516, -9.735755, 0.082018, -9.1e-05, 0.003992, -175.300354, -3.881803, -60.133732, 0.0, 0.0, -60.133728
869, 1.017883, -0.165256, -9.668694, 0.089879, -0.015946, 0.006257, -175.320038, -3.805743, -60.123482, 0.0, 0.0, -60.123474
898, 1.058599, -0.131726, -9.79084, 0.089479, -0.005687, 0.006524, -175.21489, -3.856913, -60.12439, 0.0, 0.0, -60.12439
926, 0.922083, -0.150886, -9.766891, 0.082151, -0.003022, 0.007456, -175.265121, -3.845085, -60.120495, 0.0, 0.0, -60.120483
954, 1.025068, -0.129331, -9.72378, 0.09694, -0.016079, 0.004792, -175.312424, -3.802061, -60.111427, 0.0, 0.0, -60.11142
969, 1.022673, -0.122146, -9.774076, 0.096407, -0.04126, 0.006524, -175.312836, -3.766405, -60.106071, 0.0, 0.0, -60.106049
997, 1.025068, -0.093406, -9.81, 0.085349, -0.004887, 0.00679, -175.323044, -3.859473, -60.111782, 0.0, 0.0, -60.111755
1026, 1.027463, -0.114961, -9.80521, 0.095208, -0.013148, 0.006124, -175.267731, -3.875049, -60.11002, 0.0, 0.0, -60.110016
1054, 1.032254, -0.134121, -9.845925, 0.085615, -0.001823, 0.008122, -175.245087, -3.82412, -60.10323, 0.0, 0.0, -60.10321
1083, 0.998723, -0.136516, -9.75731, 0.082951, -0.00542, 0.005857, -175.306122, -3.75149, -60.092003, 0.0, 0.0, -60.09198
1112, 1.041834, -0.138911, -9.675879, 0.098406, -0.009817, 0.006923, -175.200775, -3.822718, -60.094158, 0.0, 0.0, -60.094147
1140, 1.084944, -0.182021, -9.66151, 0.083084, -0.002356, 0.004792, -175.156067, -3.915369, -60.099072, 0.0, 0.0, -60.09906
1169, 1.049019, -0.105381, -9.841136, 0.085882, -0.015812, 0.006524, -175.16748, -3.837644, -60.088516, 0.0, 0.0, -60.088501
1198, 1.032254, -0.170046, -9.704619, 0.086948, -0.039261, 0.005325, -175.25116, -3.909458, -60.089077, 0.0, 0.0, -60.08905
1226, 1.020278, -0.301772, -9.884246, 0.082817, -0.005154, 0.004792, -175.294785, -3.999519, -60.092945, 0.0, 0.0, -60.092926
1255, 1.029858, -0.153281, -9.833951, 0.098139, -0.003955, 0.00719, -175.385315, -3.964893, -60.086018, 0.0, 0.0, -60.085999
1284, 1.020278, -0.160466, -9.798025, 0.080686, 0.000841, 0.003992, -175.347809, -3.98343, -60.082386, 0.0, 0.0, -60.082367
1312, 1.046624, -0.167651, -9.836346, 0.096141, -0.011949, 0.006257, -175.317032, -3.953188, -60.076454, 0.0, 0.0, -60.076447
1341, 0.958008, -0.098196, -9.78126, 0.082018, 0.002707, 0.005191, -175.304443, -3.933564, -60.071354, 0.0, 0.0, -60.07135
1369, 1.015488, -0.040715, -9.74773, 0.093742, -0.015413, 0.00639, -175.289917, -3.860305, -60.061749, 0.0, 0.0, -60.061737
1398, 1.037043, -0.124541, -9.75731, 0.086948, -0.005687, 0.004392, -175.331284, -3.833603, -60.055897, 0.0, 0.0, -60.055878
1427, 1.025068, -0.100591, -9.730965, 0.082151, -0.012615, 0.006124, -175.248322, -3.831864, -60.056171, 0.0, 0.0, -60.056152
1455, 0.929268, -0.150886, -9.788445, 0.091877, -0.008751, 0.00226, -175.394241, -3.938672, -60.059174, 0.0, 0.0, -60.059174
1470, 1.063389, -0.141306, -9.833951, 0.084683, -0.006353, 0.006124, -175.342117, -3.945549, -60.058102, 0.0, 0.0, -60.058075
1498, 1.029858, -0.167651, -9.73815, 0.085882, 0.024423, 0.003193, -175.264801, -3.909265, -60.048836, 0.0, 0.0, -60.048828
1527, 0.996328, -0.134121, -9.750125, 0.096141, -0.013148, 0.004525, -175.27655, -3.911344, -60.04266, 0.0, 0.0, -60.042633
1556, 1.077759, -0.01437, -9.79084, 0.083484, -0.001823, 0.006257, -175.270401, -3.851006, -60.034294, 0.0, 0.0, -60.034271
1584, 1.092129, -0.153281, -9.766891, 0.093742, -0.013148, 0.003459, -175.268799, -3.894748, -60.032646, 0.0, 0.0, -60.032623
1613, 1.053809, -0.081431, -9.80521, 0.084683, -0.001423, 0.004525, -175.323212, -3.982198, -60.034462, 0.0, 0.0, -60.034454
1642, 1.075364, -0.170046, -9.829161, 0.084816, 0.026155, 0.001994, -175.353104, -4.041187, -60.033424, 0.0, 0.0, -60.033417
1670, 0.922083, -0.143701, -9.922566, 0.094142, -0.007552, 0.007323, -175.440933, -3.975139, -60.024067, 0.0, 0.0, -60.024048
1699, 1.053809, -0.093406, -9.941727, 0.081618, 0.024557, 0.004925, -175.360352, -3.937807, -60.019997, 0.0, 0.0, -60.019989
1727, 1.020278, -0.129331, -9.726174, 0.096407, -0.013547, 0.005724, -175.39772, -3.878808, -60.011528, 0.0, 0.0, -60.011505
1756, 1.072969, -0.179626, -9.869876, 0.082817, -0.003155, 0.004792, -175.308289, -3.975201, -60.014568, 0.0, 0.0, -60.014557
1785, 1.199905, -0.076641, -9.78605, 0.090545, -0.016745, 0.004259, -175.277176, -3.965743, -60.009682, 0.0, 0.0, -60.009674
1814, 1.013093, -0.210762, -9.78126, 0.092144, -0.002223, 0.00719, -175.382278, -4.01309, -60.008869, 0.0, 0.0, -60.00885
1842, 1.017883, -0.182021, -9.78126, 0.08002, -0.000757, 0.004259, -175.414093, -3.938981, -59.997868, 0.0, 0.0, -59.997864
1871, 1.039438, -0.122146, -9.829161, 0.100804, -0.040194, 0.006657, -175.366592, -3.905374, -59.989861, 0.0, 0.0, -59.989838
1899, 1.041834, -0.124541, -9.836346, 0.087081, -0.00209, 0.006657, -175.287399, -3.917782, -59.988564, 0.0, 0.0, -59.988556
1928, 1.013093, -0.141306, -9.718989, 0.09694, -0.011416, 0.009455, -175.301651, -3.843486, -59.980499, 0.0, 0.0, -59.980499
1957, 0.974773, -0.124541, -9.793235, 0.082018, -0.002889, 0.004925, -175.325806, -3.798009, -59.973396, 0.0, 0.0, -59.973389
1985, 1.025068, -0.198787, -9.79563, 0.095608, -0.013681, 0.006124, -175.386017, -4.002934, -59.985157, 0.0, 0.0, -59.985138
2014, 1.049019, -0.263452, -9.697434, 0.083217, -0.006353, 0.006124, -175.400574, -4.116439, -59.991821, 0.0, 0.0, -59.991821
2043, 1.003513, -0.110171, -9.807606, 0.088813, -0.011016, 0.004658, -175.406219, -4.035181, -59.979923, 0.0, 0.0, -59.979919
2072, 1.087339, -0.122146, -9.841136, 0.091744, -0.007685, 0.006524, -175.44458, -4.024802, -59.975395, 0.0, 0.0, -59.975372
2086, 1.056204, -0.114961, -9.716595, 0.080686, -0.002756, 0.003726, -175.398026, -4.015236, -59.971905, 0.0, 0.0, -59.971893
2115, 1.063389, -0.098196, -9.721385, 0.095874, -0.013547, 0.006124, -175.385315, -3.966082, -59.962997, 0.0, 0.0, -59.962982
2144, 1.049019, -0.00479, -9.833951, 0.086548, 0.000175, 0.002926, -175.368423, -3.897858, -59.951721, 0.0, 0.0, -59.951721
2172, 1.044229, -0.002395, -9.793235, 0.090145, -0.013015, 0.005458, -175.293121, -3.889957, -59.945221, 0.0, 0.0, -59.945221
2201, 1.017883, -0.124541, -9.829161, 0.088813, -0.000891, 0.005724, -175.276138, -3.851403, -59.937298, 0.0, 0.0, -59.937286
2229, 1.058599, -0.134121, -9.812395, 0.080419, -0.003155, 0.004125, -175.188904, -3.83975, -59.93277, 0.0, 0.0, -59.93277
2258, 1.219065, -0.146096, -9.77647, 0.098006, -0.015546, 0.004925, -175.239532, -4.010294, -59.942043, 0.0, 0.0, -59.942017
2287, 1.049019, -0.287402, -9.72378, 0.082951, -0.001823, 0.005191, -175.296555, -4.093174, -59.942871, 0.0, 0.0, -59.942871
2316, 1.034649, -0.067061, -9.778865, 0.097206, -0.01901, 0.005191, -175.275558, -4.025266, -59.931667, 0.0, 0.0, -59.931641
2344, 0.924478, -0.129331, -9.80521, 0.084683, -0.003422, 0.005458, -175.360916, -3.956001, -59.922611, 0.0, 0.0, -59.922607
2373, 1.013093, -0.270637, -9.802815, 0.082684, -0.005287, 0.005458, -175.46994, -4.024829, -59.924484, 0.0, 0.0, -59.924469
2401, 1.039438, -0.170046, -9.750125, 0.094675, -0.004488, 0.006657, -175.403366, -4.105017, -59.927776, 0.0, 0.0, -59.927765
2430, 1.084944, -0.141306, -9.735755, 0.080819, -0.004221, 0.004792, -175.310898, -4.093246, -59.923042, 0.0, 0.0, -59.923035
2459, 1.015488, -0.026345, -9.788445, 0.096674, -0.008218, 0.006923, -175.293213, -4.033032, -59.911438, 0.0, 0.0, -59.911438
2487, 1.070574, -0.162861, -9.800421, 0.082418, -0.003155, 0.005591, -175.234146, -4.018246, -59.906227, 0.0, 0.0, -59.906219
2516, 0.936453, -0.174836, -9.812395, 0.092543, -0.01901, 0.007057, -175.406525, -3.990488, -59.900482, 0.0, 0.0, -59.900482
2545, 1.044229, -0.138911, -9.72857, 0.087481, -0.004221, 0.010654, -175.321289, -3.984679, -59.898529, 0.0, 0.0, -59.898529
2573, 1.029858, -0.117356, -9.78126, 0.081485, -0.003155, 0.005458, -175.348602, -3.912864, -59.888878, 0.0, 0.0, -59.888855
2602, 1.19272, -0.160466, -9.75252, 0.096407, -0.009018, 0.009721, -175.340851, -3.947905, -59.888439, 0.0, 0.0, -59.888428
2631, 1.027463, -0.138911, -9.733359, 0.085882, -0.000491, 0.005724, -175.290833, -3.897756, -59.881557, 0.0, 0.0, -59.881531
2660, 1.082549, -0.138911, -9.788445, 0.091744, -0.014214, 0.010121, -175.178299, -3.961148, -59.884903, 0.0, 0.0, -59.884888
2688, 1.029858, -0.172441, -9.879456, 0.091211, -0.003555, 0.003193, -175.356247, -3.925555, -59.874813, 0.0, 0.0, -59.874786
2717, 0.926873, -0.00958, -9.79563, 0.080686, -0.00582, 0.005191, -175.399673, -3.832947, -59.862499, 0.0, 0.0, -59.862488
2746, 1.070574, -0.287402, -9.778865, 0.092677, -0.01075, 0.007856, -175.398941, -3.961148, -59.867867, 0.0, 0.0, -59.867859
2760, 1.013093, -0.182021, -9.898616, 0.089079, -0.004355, 0.007323, -175.476517, -3.93361, -59.864468, 0.0, 0.0, -59.864441
2789, 1.123264, -0.170046, -9.903406, 0.084283, 0.02389, 0.007456, -175.350891, -4.017437, -59.869957, 0.0, 0.0, -59.869934
2817, 1.058599, -0.150886, -9.718989, 0.094675, -0.007286, 0.005591, -175.362793, -4.004344, -59.865238, 0.0, 0.0, -59.865234
2846, 1.065784, -0.201182, -9.75731, 0.07962, -0.002889, 0.009988, -175.285904, -4.179535, -59.879112, 0.0, 0.0, -59.879089
2875, 1.190325, -0.201182, -9.7142, 0.096274, -0.007286, 0.004392, -175.251221, -4.223748, -59.875702, 0.0, 0.0, -59.875702
2889, 0.989143, -0.134121, -9.920172, 0.087081, 0.001108, 0.009455, -175.301895, -4.18508, -59.872478, 0.0, 0.0, -59.872467
2918, 1.072969, -0.143701, -9.798025, 0.081618, -0.00209, 0.003326, -175.364044, -4.253426, -59.872261, 0.0, 0.0, -59.872253
2946, 0.998723, -0.122146, -9.75252, 0.097473, -0.007419, 0.008122, -175.427322, -4.173315, -59.859898, 0.0, 0.0, -59.859894
2975, 1.051414, -0.093406, -9.74294, 0.082684, -0.003022, 0.008655, -175.377167, -4.11959, -59.852978, 0.0, 0.0, -59.852966
3004, 1.096919, -0.162861, -9.70941, 0.09281, -0.012881, 0.007723, -175.394119, -4.125629, -59.848518, 0.0, 0.0, -59.848511
3032, 1.063389, -0.079036, -9.826766, 0.090678, -0.00129, 0.006657, -175.415314, -4.230617, -59.850395, 0.0, 0.0, -59.850372
3061, 1.075364, -0.114961, -9.80521, 0.084017, -0.004088, 0.00719, -175.425674, -4.172424, -59.841362, 0.0, 0.0, -59.841339
3090, 1.044229, -0.114961, -9.953702, 0.097073, -0.012215, 0.007323, -175.411575, -4.108615, -59.833416, 0.0, 0.0, -59.833405
3118, 1.099314, -0.136516, -9.735755, 0.080553, 0.000575, 0.005991, -175.322281, -4.103549, -59.828724, 0.0, 0.0, -59.828705
3133, 1.001118, -0.138911, -9.77168, 0.082018, 0.026155, 0.003992, -175.339539, -4.065813, -59.823204, 0.0, 0.0, -59.823181
3161, 1.017883, -0.256267, -9.848321, 0.092677, -0.04086, 0.003992, -175.461029, -4.115661, -59.821854, 0.0, 0.0, -59.821838
3190, 0.996328, -0.148491, -9.78126, 0.082551, 4.2e-05, 0.002527, -175.434647, -4.07229, -59.812641, 0.0, 0.0, -59.812622
3219, 0.960403, -0.126936, -9.72857, 0.096407, -0.016745, 0.004125, -175.430237, -4.076638, -59.807571, 0.0, 0.0, -59.807556
3247, 1.029858, -0.138911, -9.77168, 0.084683, 0.001241, 0.00679, -175.408615, -4.01394, -59.799301, 0.0, 0.0, -59.799286
3276, 1.039438, -0.126936, -9.898616, 0.081219, -0.00169, 0.005325, -175.338959, -3.998255, -59.794479, 0.0, 0.0, -59.794464
3304, 1.17835, -0.182021, -9.668694, 0.095741, -0.009284, 0.007057, -175.302292, -4.048036, -59.79422, 0.0, 0.0, -59.79422
3319, 1.029858, -0.074246, -9.793235, 0.086015, -0.004221, 0.003193, -175.296173, -4.009847, -59.787601, 0.0, 0.0, -59.787598
3347, 1.025068, -0.117356, -9.74773, 0.081885, -0.003155, 0.007456, -175.300339, -3.919814, -59.777355, 0.0, 0.0, -59.777344
3376, 1.106499, -0.239502, -9.924961, 0.098406, -0.012615, 0.003726, -175.27652, -4.064561, -59.783516, 0.0, 0.0, -59.783508
3405, 0.998723, -0.205972, -9.821976, 0.084549, -0.000891, 0.003459, -175.398758, -4.047986, -59.776234, 0.0, 0.0, -59.776215
3433, 0.938848, -0.091011, -9.829161, 0.09281, -0.015013, 0.007323, -175.44249, -3.966331, -59.767212, 0.0, 0.0, -59.767212
3462, 0.950823, -0.189207, -9.683064, 0.089879, -0.000624, 0.003326, -175.538574, -3.942233, -59.758686, 0.0, 0.0, -59.758667
3491, 1.022673, -0.122146, -9.671089, 0.085615, 0.024557, 0.00719, -175.449036, -3.917704, -59.753395, 0.0, 0.0, -59.753387
3519, 1.096919, -0.117356, -9.74773, 0.095341, -0.007286, 0.007456, -175.375122, -3.932681, -59.751156, 0.0, 0.0, -59.751129
3548, 1.171165, -0.122146, -9.800421, 0.084949, -0.006486, 0.004925, -175.263168, -3.990011, -59.752289, 0.0, 0.0, -59.752289
3577, 1.080154, -0.105381, -9.80521, 0.095608, -0.012215, 0.005191, -175.195526, -3.965522, -59.744755, 0.0, 0.0, -59.744751
3606, 1.070574, -0.086221, -9.730965, 0.082418, -0.002889, 0.006657, -175.215073, -3.917977, -59.737774, 0.0, 0.0, -59.737762
3634, 1.029858, -0.136516, -9.78126, 0.091877, -0.014347, 0.005058, -175.288025, -3.995196, -59.738758, 0.0, 0.0, -59.738739
3663, 1.039438, -0.114961, -9.690249, 0.090811, -0.004621, 0.004525, -175.235626, -3.96035, -59.731361, 0.0, 0.0, -59.731354
3692, 0.996328, -0.134121, -9.879456, 0.086015, -0.041126, 0.004658, -175.368286, -3.873324, -59.719604, 0.0, 0.0, -59.719604
3720, 1.077759, -0.172441, -9.79563, 0.097473, -0.04086, 0.006524, -175.29985, -3.968629, -59.721649, 0.0, 0.0, -59.721649
3749, 1.037043, -0.129331, -9.826766, 0.087347, -0.001024, 0.006124, -175.383423, -4.02333, -59.719921, 0.0, 0.0, -59.71991
3777, 1.025068, -0.086221, -9.666299, 0.089079, -0.015413, 0.006923, -175.318939, -4.041959, -59.717556, 0.0, 0.0, -59.717529
3806, 1.180745, -0.093406, -9.821976, 0.09201, -0.001157, 0.00639, -175.323318, -4.045974, -59.715164, 0.0, 0.0, -59.715149
3835, 1.025068, -0.162861, -9.721385, 0.082951, -0.000358, 0.006524, -175.320801, -3.968491, -59.705173, 0.0, 0.0, -59.70517
3864, 1.204695, -0.153281, -9.7621, 0.098272, -0.010217, 0.00759, -175.37706, -4.030775, -59.707371, 0.0, 0.0, -59.707367
3878, 1.015488, -0.136516, -9.788445, 0.087347, -0.007019, 0.002926, -175.385437, -3.988266, -59.700249, 0.0, 0.0, -59.700226
3907, 0.986748, -0.074246, -9.821976, 0.084949, 0.026022, 0.003593, -175.330948, -3.973902, -59.693726, 0.0, 0.0, -59.693726
3935, 1.027463, -0.105381, -9.726174, 0.090811, -0.001157, 0.004925, -175.349213, -4.071068, -59.697433, 0.0, 0.0, -59.697418
3964, 1.21667, -0.136516, -9.798025, 0.083484, -0.004088, 0.003593, -175.315582, -4.085011, -59.692566, 0.0, 0.0, -59.692566
3992, 1.034649, -0.177231, -9.960887, 0.098406, -0.012482, 0.00639, -175.436462, -4.020495, -59.683441, 0.0, 0.0, -59.683441
4021, 0.998723, -0.093406, -9.730965, 0.084949, -0.003155, 0.005857, -175.472183, -4.110462, -59.685215, 0.0, 0.0, -59.685211
4050, 1.029858, -0.155676, -9.733359, 0.08375, -0.015546, 0.006124, -175.420715, -4.054156, -59.678699, 0.0, 0.0, -59.67868
4079, 1.084944, -0.110171, -9.697434, 0.095741, -0.040061, 0.008522, -175.378143, -4.026748, -59.673367, 0.0, 0.0, -59.67334
4107, 1.084944, -0.117356, -9.901011, 0.083883, -0.003822, 0.006124, -175.282516, -4.027512, -59.668064, 0.0, 0.0, -59.66806
4122, 1.130449, -0.270637, -9.80521, 0.082817, -0.004088, 0.006923, -175.288101, -4.150841, -59.677109, 0.0, 0.0, -59.677094
4150, 1.013093, -0.00958, -9.793235, 0.097473, -0.007819, 0.006923, -175.307816, -4.073559, -59.667244, 0.0, 0.0, -59.667236
4179, 1.032254, -0.126936, -9.730965, 0.082551, -0.001557, 0.004658, -175.396469, -4.112789, -59.66581, 0.0, 0.0, -59.665802
4208, 1.209485, -0.294587, -9.798025, 0.093209, -0.015546, 0.003459, -175.425751, -4.180525, -59.664337, 0.0, 0.0, -59.664337
4237, 1.017883, -0.172441, -9.855506, 0.085349, -0.005687, 0.004259, -175.458038, -4.092962, -59.651783, 0.0, 0.0, -59.651764
4265, 1.022673, -0.138911, -9.79563, 0.083617, -0.00995, 0.005325, -175.426971, -4.021973, -59.642014, 0.0, 0.0, -59.641998
4294, 1.060994, -0.160466, -9.83874, 0.097073, -0.008884, 0.005325, -175.365387, -4.015577, -59.635178, 0.0, 0.0, -59.635162
4322, 1.037043, -0.021555, -9.79084, 0.081618, -0.003022, 0.006257, -175.323975, -3.950502, -59.626259, 0.0, 0.0, -59.626251
4351, 1.065784, -0.002395, -9.740545, 0.093609, -0.013281, 0.006124, -175.261551, -3.912588, -59.618526, 0.0, 0.0, -59.6185
4380, 1.053809, -0.170046, -9.745335, 0.081219, -0.005021, 0.003992, -175.272949, -3.969158, -59.618519, 0.0, 0.0, -59.6185
4409, 1.017883, -0.273032, -9.673484, 0.092943, -0.015812, 0.001328, -175.336411, -4.049444, -59.61668, 0.0, 0.0, -59.616669
4423, 1.041834, -0.148491, -9.79563, 0.097073, -0.009018, 0.006524, -175.325378, -4.020556, -59.612049, 0.0, 0.0, -59.61203
4452, 1.008303, -0.107776, -9.798025, 0.080286, -0.00209, 0.00759, -175.296448, -4.053502, -59.610924, 0.0, 0.0, -59.610901
4480, 0.943638, -0.119751, -9.764495, 0.098139, -0.008618, 0.004925, -175.366837, -3.982721, -59.601093, 0.0, 0.0, -59.601074
4509, 1.056204, -0.167651, -9.678274, 0.084017, -0.000757, 0.003326, -175.251312, -4.044528, -59.600597, 0.0, 0.0, -59.600586
4538, 1.020278, -0.165256, -9.778865, 0.094542, -0.011283, 0.004925, -175.393417, -4.045445, -59.594585, 0.0, 0.0, -59.594574
4552, 0.981958, -0.04311, -9.77647, 0.09694, -0.000757, 0.004125, -175.403, -4.009062, -59.58815, 0.0, 0.0, -59.588135
4581, 1.013093, -0.131726, -9.769285, 0.078288, -0.002356, 0.005724, -175.445068, -3.936408, -59.579189, 0.0, 0.0, -59.579163
4610, 0.946033, -0.086221, -9.798025, 0.099072, -0.011283, 0.006923, -175.449692, -3.894767, -59.573383, 0.0, 0.0, -59.573364
4638, 1.060994, -0.155676, -9.833951, 0.082684, -0.003555, 0.003859, -175.329819, -3.970599, -59.574131, 0.0, 0.0, -59.574127
4667, 1.051414, -0.304167, -9.960887, 0.085749, -0.017145, 0.005191, -175.473389, -4.074353, -59.578835, 0.0, 0.0, -59.578827
4696, 1.113684, -0.124541, -9.759705, 0.084816, -0.004221, 0.007856, -175.382217, -4.091434, -59.576683, 0.0, 0.0, -59.57666
4724, 1.084944, -0.095801, -9.7142, 0.082951, -0.01075, 0.007989, -175.359375, -4.20021, -59.580509, 0.0, 0.0, -59.580505
4753, 1.037043, -0.119751, -9.951306, 0.090145, -0.002223, 0.00679, -175.370789, -4.124385, -59.569252, 0.0, 0.0, -59.569244
4781, 1.070574, -0.076641, -9.726174, 0.084683, -0.002889, 0.005058, -175.33548, -4.065438, -59.560455, 0.0, 0.0, -59.560455
4810, 1.082549, -0.098196, -9.663904, 0.097073, -0.04126, 0.007723, -175.27417, -4.051992, -59.553585, 0.0, 0.0, -59.553558
4839, 0.991538, -0.114961, -9.730965, 0.082285, -0.002623, 0.005191, -175.312775, -3.965966, -59.542473, 0.0, 0.0, -59.54245
4868, 0.919688, -0.136516, -9.66151, 0.095608, -0.012482, 0.00759, -175.335587, -4.027313, -59.547573, 0.0, 0.0, -59.547546
4896, 1.025068, -0.160466, -9.702225, 0.089612, -0.004088, 0.009854, -175.321182, -3.975678, -59.539841, 0.0, 0.0, -59.539825
4925, 1.065784, -0.196392, -9.800421, 0.079753, -0.005687, 0.003593, -175.362808, -4.048933, -59.541557, 0.0, 0.0, -59.541534
4953, 1.065784, -0.124541, -9.800421, 0.099338, -0.011549, 0.00679, -175.288712, -4.080541, -59.538113, 0.0, 0.0, -59.538086
4982, 1.195115, -0.148491, -9.663904, 0.082418, -0.000891, 0.00719, -175.243057, -4.106117, -59.535225, 0.0, 0.0, -59.535217
5011, 1.003513, -0.253872, -9.74773, 0.096274, -0.015279, 0.004125, -175.330475, -4.154102, -59.534283, 0.0, 0.0, -59.534271
5039, 1.010698, -0.102986, -9.7621, 0.083617, -0.001024, 0.006923, -175.33136, -4.079233, -59.524284, 0.0, 0.0, -59.524261
5068, 1.185535, -0.179626, -9.865086, 0.083084, -0.003422, 0.003459, -175.229965, -4.153389, -59.524296, 0.0, 0.0, -59.524292
5097, 1.204695, -0.306563, -9.75252, 0.09694, -0.007286, 0.007723, -175.270081, -4.233037, -59.528458, 0.0, 0.0, -59.528442
5126, 1.027463, -0.165256, -9.802815, 0.084816, 0.000309, 0.007057, -175.352737, -4.149911, -59.518353, 0.0, 0.0, -59.518341
5154, 1.039438, -0.114961, -9.74294, 0.099738, -0.014214, 0.005191, -175.367889, -4.086952, -59.508034, 0.0, 0.0, -59.508026
5183, 0.924478, -0.086221, -9.821976, 0.086015, -0.003022, 0.008122, -175.368698, -4.063395, -59.503387, 0.0, 0.0, -59.503387
5212, 1.032254, -0.186812, -9.74773, 0.090678, -0.012215, 0.006257, -175.345917, -4.062636, -59.499748, 0.0, 0.0, -59.499725
5226, 0.981958, -0.093406, -9.78605, 0.096274, -0.008485, 0.00719, -175.378189, -4.021529, -59.494579, 0.0, 0.0, -59.494568
5254, 1.049019, -0.102986, -9.623189, 0.081352, -0.001823, 0.005325, -175.425369, -4.108228, -59.496716, 0.0, 0.0, -59.496704
